Episode,Score,Best,Total reward,End position
138,17.8001435949,21.3216459145,1495.21206197,"[  1.55274138e-02  -3.42725517e-01   8.29117536e+01   5.11757521e-02
   6.28269368e+00   0.00000000e+00]"
139,17.7717408409,21.3216459145,1492.82623064,"[ -2.54852637e-03  -1.18276880e+01   8.28447710e+01   1.72185716e-01
   6.28308204e+00   0.00000000e+00]"
140,17.7841906745,21.3216459145,1493.87201666,"[ -2.03250952e-03  -1.01929239e+01   8.27926393e+01   4.28338217e-01
   6.28278480e+00   0.00000000e+00]"
141,17.7987486398,21.3216459145,1495.09488575,"[ -9.14006395e-03  -3.38412431e+00   8.26666033e+01   6.17020627e+00
   6.28317658e+00   0.00000000e+00]"
142,17.7786533051,21.3216459145,1493.40687763,"[  3.97473787e-03   2.14780008e+01   7.92388038e+01   1.37072928e+00
   6.28269326e+00   0.00000000e+00]"
143,17.7165133028,21.3216459145,1488.18711743,"[  9.31962082e-03  -2.44835520e+01   7.58903620e+01   4.77799770e+00
   6.28293511e+00   0.00000000e+00]"
144,17.7929060688,21.3216459145,1494.60410978,"[ -3.22453400e-02  -7.46442695e+00   8.13331121e+01   5.24353745e+00
   9.99850631e-04   0.00000000e+00]"
145,17.7875306939,21.3216459145,1494.15257829,"[ -4.74746509e-03  -7.57793390e+00   8.22674407e+01   6.17463678e+00
   4.58389918e-04   0.00000000e+00]"
146,17.3140801278,21.3216459145,1454.38273073,"[ -1.99601398e-02  -4.48425156e+01   5.91388372e+01   4.19164740e+00
   5.35280817e-04   0.00000000e+00]"
147,17.7963124144,21.3216459145,1494.89024281,"[ -4.26923726e-02  -4.34626242e+00   8.23817167e+01   5.81929549e+00
   1.06879298e-03   0.00000000e+00]"
148,17.7112999626,21.3216459145,1487.74919686,"[ -4.46003355e-03  -2.30663433e+01   7.79325341e+01   5.54201881e+00
   7.34409340e-05   0.00000000e+00]"
149,17.7969106127,21.3216459145,1494.94049147,"[  2.80082779e-03   1.66451754e+00   8.28302063e+01   8.05512534e-02
   6.28294813e+00   0.00000000e+00]"
150,17.8000229631,21.3216459145,1495.2019289,"[ -1.43908819e-02   3.89871166e+00   8.26479664e+01   3.05959121e-01
   6.62274673e-05   0.00000000e+00]"
151,17.6583462842,21.3216459145,1483.30108787,"[  1.89617463e-02  -2.81845680e+01   7.62748055e+01   5.81188707e+00
   6.28221184e+00   0.00000000e+00]"
152,17.4521523293,21.3216459145,1465.98079566,"[ -3.46413303e-02   4.08991305e+01   6.65230208e+01   1.76980049e+00
   7.91823574e-04   0.00000000e+00]"
153,17.1544020449,21.3216459145,1440.96977177,"[  9.66232449e-03   4.96576228e+01   5.77154466e+01   1.57373883e+00
   5.87346169e-04   0.00000000e+00]"
154,17.6852297202,21.3216459145,1485.5592965,"[  1.47339670e-02   2.51484789e+01   7.75749501e+01   9.63652223e-01
   6.28301155e+00   0.00000000e+00]"
155,17.7769981948,21.3216459145,1493.26784837,"[ -3.05866845e-03   1.83585601e+01   7.96651091e+01   1.21116529e+00
   3.94686315e-04   0.00000000e+00]"
156,17.7750356618,21.3216459145,1493.10299559,"[ -2.84602032e-03   1.52062061e+01   8.06397388e+01   2.21683076e-01
   1.06698615e-04   0.00000000e+00]"
157,17.4238010014,21.3216459145,1463.59928412,"[ -3.19296463e-03  -4.11300895e+01   6.79349071e+01   5.14960289e+00
   6.28294641e+00   0.00000000e+00]"
158,17.6708005385,21.3216459145,1484.34724523,"[ -7.43916271e-03   2.55951689e+01   7.85142859e+01   1.02145532e-01
   2.44854998e-04   0.00000000e+00]"
159,17.7753445523,21.3216459145,1493.12894239,"[ -5.03710614e-03   1.44709455e+01   8.07900795e+01   5.29579993e-01
   7.97443133e-05   0.00000000e+00]"
